;S0, price of underlying asset, RMB;K, strike price, RMB;Interest rate, annual;Volatility, annual;Time to maturity, years;Number of steps of binominal tree;Type ( 1= call, 0 = put);Market price;Price, calculated by binominal tree;Difference 
August;2,136;2;0,0305;0,1323;0,153424658;5;1;0,1424;0,1485612;-0,0061612
;2,136;2;0,0305;0,1323;0,153424658;5;0;0,011;0,003228109;0,007771891
;2,136;2,05;0,0305;0,1323;0,153424658;5;1;0,1048;0,1072292;-0,0024292
;2,136;2,05;0,0305;0,1323;0,153424658;5;0;0,0217;0,01166263;0,01003737
;2,136;2,1;0,0305;0,1323;0,153424658;5;1;0,0724;0,06954;0,00286
;2,136;2,1;0,0305;0,1323;0,153424658;5;0;0,0396;0,02374003;0,01585997
;2,136;2,15;0,0305;0,1323;0,153424658;5;1;0,0468;0,04327129;0,00352871
;2,136;2,15;0,0305;0,1323;0,153424658;5;0;0,0644;0,0472379;0,0171621
;2,136;2,2;0,0305;0,1323;0,153424658;5;1;0,0292;0,02173453;0,00746547
;2,136;2,2;0,0305;0,1323;0,153424658;5;0;0,0968;0,07546772;0,02133228
;2,136;2,25;0,0305;0,1323;0,153424658;5;1;0,0171;0,0114517;0,0056483
;2,136;2,25;0,0305;0,1323;0,153424658;5;0;0,134;0,1149515;0,0190485
September;2,136;1,8;0,0305;0,1323;0,249315068;5;1;0,3253;0,3496251;-0,0243251
;2,136;1,8;0,0305;0,1323;0,249315068;5;0;0,0038;0;0,0038
;2,136;1,85;0,0305;0,1323;0,249315068;5;1;0,2789;0,3000699;-0,0211699
;2,136;1,85;0,0305;0,1323;0,249315068;5;0;0,0056;6,60E-05;0,005534018
;2,136;1,9;0,0305;0,1323;0,249315068;5;1;0,2325;0,251727;-0,019227
;2,136;1,9;0,0305;0,1323;0,249315068;5;0;0,0099;0,001344406;0,008555594
;2,136;1,95;0,0305;0,1323;0,249315068;5;1;0,192;0,2033842;-0,0113842
;2,136;1,95;0,0305;0,1323;0,249315068;5;0;0,0174;0,002622829;0,014777171
;2,136;2;0,0305;0,1323;0,249315068;5;1;0,1532;0,160854;-0,007654
;2,136;2;0,0305;0,1323;0,249315068;5;0;0,0306;0,009713823;0,020886177
;2,136;2,05;0,0305;0,1323;0,249315068;5;1;0,119;0,1194066;-0,0004066
;2,136;2,05;0,0305;0,1323;0,249315068;5;0;0,0455;0,01788763;0,02761237
;2,136;2,1;0,0305;0,1323;0,249315068;5;1;0,0917;0,08543153;0,00626847
;2,136;2,1;0,0305;0,1323;0,249315068;5;0;0,0665;0,03353383;0,03296617
;2,136;2,15;0,0305;0,1323;0,249315068;5;1;0,0689;0,05886064;0,01003936
;2,136;2,15;0,0305;0,1323;0,249315068;5;0;0,0931;0,05658418;0,03651582
;2,136;2,2;0,0305;0,1323;0,249315068;5;1;0,0497;0,03263807;0,01706193
;2,136;2,2;0,0305;0,1323;0,249315068;5;0;0,1239;0,07998285;0,04391715
;2,136;2,25;0,0305;0,1323;0,249315068;5;1;0,0352;0,022115;0,013085
;2,136;2,25;0,0305;0,1323;0,249315068;5;0;0,1621;0,119081;0,043019
;2,136;2,3;0,0305;0,1323;0,249315068;5;1;0,0247;0,01159192;0,01310808
;2,136;2,3;0,0305;0,1323;0,249315068;5;0;0,199;0,1581792;0,0408208
December;2,136;1,95;0,0305;0,1323;0,498630137;5;1;0,206;0,2283096;-0,0223096
;2,136;1,95;0,0305;0,1323;0,498630137;5;0;0,05;0,01291939;0,03708061
;2,136;2;0,0305;0,1323;0,498630137;5;1;0,1731;0,1867373;-0,0136373
;2,136;2;0,0305;0,1323;0,498630137;5;0;0,0687;0,02059247;0,04810753
;2,136;2,05;0,0305;0,1323;0,498630137;5;1;0,146;0,1451651;0,0008349
;2,136;2,05;0,0305;0,1323;0,498630137;5;0;0,0902;0,02826556;0,06193444
;2,136;2,1;0,0305;0,1323;0,498630137;5;1;0,1218;0,1180494;0,0037506
;2,136;2,1;0,0305;0,1323;0,498630137;5;0;0,1155;0,05039519;0,06510481
;2,136;2,15;0,0305;0,1323;0,498630137;5;1;0,0997;0,09095852;0,00874148
;2,136;2,15;0,0305;0,1323;0,498630137;5;0;0,143;0,07254969;0,07045031
;2,136;2,2;0,0305;0,1323;0,498630137;5;1;0,0818;0,06386768;0,01793232
;2,136;2,2;0,0305;0,1323;0,498630137;5;0;0,174;0,0947042;0,0792958
;2,136;2,25;0,0305;0,1323;0,498630137;5;1;0,0667;0,0446712;0,0220288
;2,136;2,25;0,0305;0,1323;0,498630137;5;0;0,2085;0,1247531;0,0837469
